tx,destination_address,exchange,token_name,token_erc20,number_of_coins_transferred,utc_date_time_of_transfer,utc_date_of_transfer
0x2d8bcef13d332f0871e3e8bdfe10479e32f06217d8556e97b470b27776e3d403,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xf7ab6daaa4543254458b57736860222395def6da15bf06ff215bebec934b700a,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x54cf9f194ea9f5f02f09c00feab273ca6cf5e9dbe807d661e95d5f526a71449e,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x450fde1f42bf7e946cd95ec4fc6ac752c3ebd4140b9e0f931698571a64635b2e,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xebe4bb0eef71f3e75fe03aae5390a41c16d0dd5420e5fc4cc4f20c3af0bf1da4,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x68cfda372a779929e0c549789a93a4ec1b863b5c09031032bdbb3940e010659b,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x105d2c4a97387211b679774a6a2c742308113c4b65ed97aa73bc4d9545051800,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xe7779b997665d805a458fa24b5c1aecb67be30ad3bd042b278df274cceec6375,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xbd9206f9864d956588590b36053319ecc699727cd7ae73182b65c06989cfc635,0x02d24cab4f2c3bf6e6eb07ea07e45f96baccffe7,Coinbase: Commerce Fee 3,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xba0f7937ab4c7f9d79715155fa0bc5b1d1464cd57201f3a5ac96527e733c0c67,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xa2a219fca0b06b0b5f1514507c9e0dcdaefce5021557ebed0a41d9979f8a02d1,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x27b0311815e125f89863a8c79cae92ea1cffaa2800c9903e13081d31916e7169,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x3bbfe2a3ea4d022edfdc869dd72f13d1a07ff92a877f175d02d09ebe8b1c2d2e,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,5, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xadff5a03ab5ff4738f364eb5c9cf93cc21672971cfb35e71ba3572694581ebb6,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xd0e22801e322637ac758b6dd19c6f4e3495e3279cbffb70c49e16bf1b732b040,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x2583467ea5e82eeaf9dad0e3275b89b24f59c4c8c6f33f3eb7a4a0dc36eda094,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,3, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xa5b3896a54d88d2dfa16b6f3e8225d45c49f2a4b4a15757530281332efe3b89b,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xd4abc8cfadfb838d55807e47806e4f2c7d25a3806db236c3dfd72ebf10350dba,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x3b4e9f70e95dba7cfb11b38776a1aee86f16e9e2d3187177d4723032292aaf17,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,9, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x8ed8da8d64db1ba442c4fc704221357c27f02aac7937523b052cddcb07b9a9fd,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,9, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xbbad73967ef6c410b0c8d35dc66eab2cc39f17f4840d9b700d47bfdddca7a73a,0x90e18a6920985dbacc3d76cf27a3f2131923c720,Coinbase: Commerce Fee 5,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,2, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x1c4193cdd1638e8625344556de45cbdfc117676628a300a42353cb7b535d417f,0xce352e98934499be70f641353f16a47d9e1e3abd,Coinbase: Commerce Fee 4,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,4, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x85ed86f8832dc65fb5670229af5b113e7dd394bb6aa90a6380018c3a02efe9e9,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x66b22df7fd13c9354e7acf1c132982dad908d8efbd9dbdbece1da6f387db317b,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x1d6619900bc1aefd2d43af1d6b33f9aed25184238ff4d2ef8787410c63da73d8,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xcba4de9cc9eb0743aa5967068019fce9016c6f9621309273af751ff92c234c3c,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,20, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xfe8fd152bc3f989ce6e50abf67a9379fe2270010ac964ea0368ea7a5e5ad9981,0xbc8ec259e3026ae0d87bc442d034d6882ce4a35c,Coinbase: Commerce Fee 2,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,1, 24 Apr 2023 23:29:11 GMT,2023-04-24
0xd0ef3281ea69093ad8cfc657f31de5aa5f15a34a9f3098797cdff72b97bcf1e7,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x26e58cbc153997111b5912ee98c0f07e41b50b9a57db0721edaca69e30e2ee6d,0x6c8dd0e9cc58c07429e065178d88444b60e60b80,Coinbase: Commerce Fee,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,7, 24 Apr 2023 23:29:11 GMT,2023-04-24
0x152863935ea8352eaf1f24ac138904522e73558c96d471abe8b25b24fecb54f9,0x4b23d52eff7c67f5992c2ab6d3f69b13a6a33561,Coinbase: Commerce Fee 6,Tether,0xdac17f958d2ee523a2206206994597c13d831ec7,0, 24 Apr 2023 23:29:11 GMT,2023-04-24
